date,y,clim,p_vix,p_vix_driftless,p_vix_bgk,p_m1,p_m2,p_m3,p_m3_pk,p_m3_har96,p_v0ref,har_fc_20,refit_year,block24,block18
2003-04-10,0,0.2119895743,0.4892032314,0.4769459488,0.4122698252,0.2936783184,0.3051202601,0.30156895,0.2998417625,0.2858699783,,0.2356740927,2003,1,1
2003-04-11,0,0.2119895743,0.4680174466,0.4562837767,0.3929918748,0.2759668531,0.2899755245,0.2899831365,0.2884688436,0.2875225241,,0.2368900813,2003,1,1
2003-04-14,0,0.2119895743,0.4479483462,0.4367117293,0.3748206955,0.2597292961,0.2687460678,0.2638292586,0.2664491013,0.2734023618,,0.2158667247,2003,1,1
2003-04-15,0,0.2119895743,0.4304329465,0.4196308812,0.3590341342,0.2459700766,0.2509288101,0.2456493107,0.2480306605,0.2676156441,,0.2069169938,2003,1,1
2003-04-16,0,0.2119895743,0.4295865829,0.4188055321,0.3582730278,0.2453146881,0.252791974,0.2539971607,0.2579039991,0.2796520424,,0.2063170499,2003,1,1
2003-04-17,0,0.2119895743,0.4073050478,0.3970777413,0.3382933435,0.2283662302,0.2321519876,0.2309339843,0.2352558209,0.2693360888,,0.1942230012,2003,1,1
2003-04-21,0,0.2119895743,0.4173029074,0.406827013,0.3472446467,0.2358989699,0.2381038412,0.2360396875,0.2364637541,0.2696760835,,0.1900491405,2003,1,1
2003-04-22,0,0.2119895743,0.3888547873,0.3790867088,0.3218335039,0.2147650505,0.2280507779,0.2173374895,0.2223002144,0.249683796,,0.2032799835,2003,1,1
2003-04-23,0,0.2119895743,0.3912093183,0.3813826022,0.3239297339,0.2164794903,0.220310909,0.2097631266,0.211477185,0.2477832441,,0.1880019993,2003,1,1
2003-04-24,0,0.2119895743,0.3800205906,0.3704726033,0.3139797331,0.208386961,0.2168446177,0.2094114006,0.2080894961,0.2522344815,,0.1910094807,2003,1,1
2003-04-25,0,0.2119895743,0.3912093183,0.3813826022,0.3239297339,0.2164794903,0.2202339559,0.2184190409,0.221492481,0.2644785516,,0.1851699023,2003,1,1
2003-04-28,0,0.2119895743,0.3921472676,0.3822971954,0.3247651378,0.2171641694,0.225700395,0.2150862324,0.2185331412,0.2493142288,,0.193746495,2003,1,1
2003-04-29,0,0.2119895743,0.3902691864,0.3804658824,0.3230925867,0.2157942,0.2227974499,0.2117045053,0.2112636344,0.2474637379,,0.1881598848,2003,1,1
2003-04-30,0,0.2119895743,0.4007181341,0.3906547069,0.3324081974,0.2234663339,0.2264979076,0.2166575888,0.2162157283,0.2513646763,,0.184213428,2003,1,1
2003-05-01,0,0.2119895743,0.4093261817,0.3990486064,0.3401011029,0.2298796843,0.2427195906,0.2279227829,0.2287855818,0.2474393826,,0.2012430424,2003,1,1
2003-05-02,0,0.2119895743,0.387198209,0.3774713918,0.3203594154,0.2135625018,0.2222650666,0.2063896712,0.2102632625,0.2381763681,,0.1930102589,2003,1,1
2003-05-05,0,0.2119895743,0.3988809278,0.3888632233,0.3307684711,0.2221084695,0.2270275438,0.2119648732,0.2126958797,0.2417087752,,0.1863586177,2003,1,1
2003-05-06,0,0.2119895743,0.3912093183,0.3813826022,0.3239297339,0.2164794903,0.2199991082,0.2028885263,0.2054733525,0.2352715675,,0.1819426548,2003,1,1
2003-05-07,0,0.2119895743,0.3958767615,0.385933835,0.3280888647,0.2198963237,0.2255069091,0.2090485168,0.2086790793,0.2385054437,,0.1857629896,2003,1,1
2003-05-08,0,0.2119895743,0.4014048547,0.3913243385,0.3330212985,0.2239748655,0.228469155,0.2157772626,0.2126706839,0.246661626,,0.1764690576,2003,1,1
2003-05-09,0,0.2119895743,0.3642782664,0.3551227883,0.3000290182,0.1972308681,0.198724605,0.1867307668,0.187677885,0.2368897955,,0.1660380763,2003,1,1
2003-05-12,0,0.2119895743,0.3599968426,0.350948181,0.2962448125,0.1942423082,0.1999486086,0.1822706777,0.1851817506,0.2257913001,,0.1704981358,2003,1,1
2003-05-13,0,0.2119895743,0.369756356,0.3604642466,0.3048771466,0.2010829519,0.2010186807,0.185143965,0.1842995912,0.2301646359,,0.1619975456,2003,1,1
2003-05-14,0,0.2119895743,0.3719771853,0.3626296985,0.3068445725,0.2026536895,0.205423498,0.1888361684,0.1893223039,0.2304325845,,0.1647736557,2003,1,1
2003-05-15,0,0.2119895743,0.3528526695,0.3439823075,0.2899398891,0.1892980736,0.191124297,0.1753052351,0.1755197274,0.2259186892,,0.1583610453,2003,1,1
2003-05-16,0,0.2119895743,0.3307225208,0.3224049275,0.2704863785,0.1743135283,0.1788175489,0.1657270412,0.1662874728,0.2259911608,,0.1600208599,2003,1,1
2003-05-19,0,0.2119895743,0.384342441,0.3746867649,0.3178197112,0.211496538,0.2186252514,0.2063808387,0.2078152939,0.243745841,,0.1732312077,2003,1,1
2003-05-20,0,0.2119895743,0.4025466481,0.3924377204,0.3340409221,0.2248215741,0.2270611514,0.2153699251,0.2157890388,0.2481466739,,0.1710889589,2003,1,1
2003-05-21,0,0.2119895743,0.4007181341,0.3906547069,0.3324081974,0.2234663339,0.2200326685,0.2102131186,0.2101244945,0.2494889304,,0.1624920713,2003,1,1
2003-05-22,0,0.2119895743,0.3665278137,0.3573162231,0.3020190309,0.1988088557,0.2028713464,0.1906705066,0.1912232331,0.2379720445,,0.1665972442,2003,1,1
2003-05-23,0,0.2119895743,0.3510485604,0.342223236,0.2883496165,0.1880578673,0.1868555244,0.1781439339,0.1783826084,0.2390456576,,0.156196936,2003,1,1
2003-05-27,0,0.2119895743,0.3717310041,0.3623896555,0.306626425,0.2024793118,0.2128294301,0.1902849398,0.1941743283,0.2216732274,,0.1770816229,2003,1,1
2003-05-28,0,0.2119895743,0.3727148883,0.3633490082,0.3074983539,0.2031766159,0.204991308,0.1850977356,0.1849335652,0.2238484568,,0.1648327532,2003,1,1
2003-05-29,0,0.2119895743,0.3824272889,0.3728193294,0.3161175644,0.2101160652,0.2169582585,0.1945647,0.1958639673,0.2239227065,,0.1752414015,2003,1,1
2003-05-30,0,0.2119895743,0.3587295289,0.3497124906,0.2951254994,0.1933613705,0.1995332643,0.1752359184,0.1771259016,0.2125315624,,0.1712383653,2003,1,1
2003-06-02,0,0.2119895743,0.3923814012,0.382525499,0.3249737049,0.2173352339,0.2266839353,0.1942351044,0.1944964106,0.2096175818,,0.1838598616,2003,1,1
2003-06-03,0,0.2119895743,0.3921472676,0.3822971954,0.3247651378,0.2171641694,0.2126790255,0.1851418571,0.1855932818,0.2129961812,,0.1592243069,2003,1,1
2003-06-04,0,0.2119895743,0.3869610478,0.3772401382,0.3201484313,0.213390589,0.2133101191,0.1795307205,0.1831990857,0.2014389339,,0.1634667539,2003,1,1
2003-06-05,0,0.2119895743,0.3919129949,0.3820687562,0.3245564593,0.2169930645,0.2164514919,0.1804329797,0.1815020698,0.1988837874,,0.1618939612,2003,1,1
2003-06-06,0,0.2119895743,0.4016334811,0.3915472758,0.3332254388,0.2241442871,0.2328094629,0.1925456266,0.1932012218,0.1987008364,,0.1802703986,2003,1,1
2003-06-09,0,0.2119895743,0.4216607427,0.4110765548,0.351153303,0.2392188632,0.2379205534,0.2030426476,0.2028747166,0.2108343252,,0.1684377712,2003,1,1
2003-06-10,0,0.2119895743,0.3874352771,0.3777025549,0.3205703296,0.2137344091,0.2091818472,0.1783640509,0.1804747331,0.2051930471,,0.1582396261,2003,1,1
2003-06-11,0,0.2119895743,0.3771137359,0.3676381967,0.3113993945,0.2063069161,0.209032705,0.1732248208,0.175507134,0.1954205464,,0.1668053357,2003,1,1
2003-06-12,0,0.2119895743,0.381947085,0.3723510909,0.3156909009,0.2097705557,0.2126933904,0.1752009123,0.174650624,0.1941554928,,0.1678647484,2003,1,1
2003-06-13,0,0.2119895743,0.387909016,0.3781644938,0.3209918428,0.2140781216,0.2158941039,0.1821315708,0.1841217853,0.2026193297,,0.1645383004,2003,1,1
2003-06-16,0,0.2119895743,0.3773567571,0.3678751605,0.3116150436,0.2064804628,0.2066537309,0.1682750153,0.1726871349,0.1895501533,,0.1603134919,2003,1,1
2003-06-17,0,0.2119895743,0.3722232223,0.3628696009,0.3070626061,0.2028280299,0.2007551675,0.1648630942,0.1652275761,0.1912178442,,0.1568904351,2003,1,1
2003-06-18,0,0.2119895743,0.3660289082,0.3568297616,0.3015775835,0.1984584272,0.1987585302,0.1636705487,0.1639875525,0.1915686568,,0.1584954043,2003,1,1
2003-06-19,0,0.2119895743,0.3670260628,0.357802045,0.3024599555,0.1991590864,0.1989099372,0.1696968337,0.1747959699,0.2029990333,,0.1559756227,2003,1,1
2003-06-20,0,0.2119895743,0.3502731256,0.3414671604,0.2876663285,0.1875258356,0.1881489634,0.1624866414,0.1629919242,0.2045556885,,0.1532340371,2003,1,1
2003-06-23,0,0.2119895743,0.3860107838,0.3763135454,0.319303183,0.2127023862,0.2128315391,0.1856570143,0.1882089416,0.2135037532,,0.1587246682,2003,1,1
2003-06-24,0,0.2119895743,0.3900337986,0.3802363567,0.3228830155,0.2156227726,0.2109281951,0.185294173,0.186291258,0.2158043179,,0.1531578849,2003,1,1
2003-06-25,0,0.2119895743,0.3914440086,0.3816114483,0.3241387469,0.2166507164,0.2194983364,0.194632857,0.1974117612,0.2206154518,,0.1657395761,2003,1,1
