date,state_fang,state_macd,state_fg,state_vix,state_ma,state_eod,state_lead,state_btc,score_d,score_w,score_m,trend_d,trend_w,trend_m,overall_d,overall_w,overall_m,tone,verdict_ko,n_watch_avail,fg_avail,eod_avail,n_leaders,spy_close,vix_close
2021-11-15,G2R,RED,GREEN,GREEN,GREEN,AMBER,GREEN,G2R,0.160000,1.000000,0.500000,-1,1,0,G2R,GREEN,GREEN,caution,단기 과열 뒤 주춤,25,True,False,7,438.274017,16.490000
2021-11-16,GREEN,RED,GREEN,GREEN,GREEN,AMBER,GREEN,G2R,0.400000,0.777778,0.500000,0,0,0,AMBER,GREEN,GREEN,hold,꾸준한 상승 흐름,25,True,False,8,440.008636,16.370001
2021-11-17,GREEN,RED,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.293333,0.600000,0.322222,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,25,True,False,8,438.939758,17.110001
2021-11-18,GREEN,RED,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.293333,0.488889,0.322222,1,-1,-1,R2G,G2R,G2R,caution,바닥 신호가 살짝 보임,25,True,False,8,440.430634,17.590000
2021-11-19,GREEN,RED,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.293333,0.488889,0.322222,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,25,True,False,11,439.643005,17.910000
2021-11-22,GREEN,RED,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.293333,0.488889,0.322222,0,-1,-1,AMBER,G2R,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,11,438.405273,19.170000
2021-11-23,GREEN,RED,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.293333,0.488889,0.322222,0,-1,-1,AMBER,G2R,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,10,438.986633,19.379999
2021-11-24,GREEN,RED,GREEN,AMBER,GREEN,AMBER,GREEN,G2R,0.293333,0.488889,0.322222,0,-1,-1,AMBER,G2R,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,8,440.158661,18.580000
2021-11-26,GREEN,RED,AMBER,RED,GREEN,AMBER,GREEN,G2R,0.053333,0.311111,0.144444,-1,-1,-1,G2R,G2R,G2R,reduce,시장 전체가 내리막,25,True,False,5,430.341766,28.620001
2021-11-29,GREEN,RED,AMBER,G2R,GREEN,AMBER,GREEN,GREEN,0.306667,-0.533333,0.233333,1,-1,-1,R2G,RED,G2R,caution,바닥 신호가 살짝 보임,25,True,False,7,435.620636,22.959999
2021-11-30,GREEN,RED,RED,G2R,GREEN,AMBER,GREEN,AMBER,0.040000,-0.266667,0.233333,0,-1,-1,AMBER,G2R,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,6,427.144379,27.190001
2021-12-01,GREEN,RED,R2G,RED,GREEN,AMBER,GREEN,GREEN,0.320000,-0.622222,0.144444,1,-1,-1,R2G,RED,G2R,caution,바닥 신호가 살짝 보임,25,True,False,6,422.400024,31.120001
2021-12-02,AMBER,RED,RED,G2R,GREEN,AMBER,GREEN,AMBER,-0.120000,-0.666667,0.233333,-1,-1,-1,G2R,RED,G2R,reduce,시장 전체가 내리막,25,True,False,6,428.869659,27.950001
2021-12-03,G2R,RED,RED,RED,GREEN,AMBER,GREEN,GREEN,-0.120000,-0.755556,0.144444,-1,-1,-1,G2R,RED,G2R,reduce,시장 전체가 내리막,25,True,False,5,425.137939,30.670000
2021-12-06,G2R,RED,R2G,G2R,GREEN,AMBER,GREEN,G2R,-0.066667,-0.533333,0.233333,-1,0,-1,G2R,RED,G2R,reduce,시장 전체가 내리막,25,True,False,5,430.172943,27.180000
2021-12-07,G2R,RED,AMBER,AMBER,GREEN,AMBER,GREEN,G2R,-0.080000,-0.266667,0.322222,-1,0,-1,G2R,AMBER,G2R,neutral,방향이 뚜렷하지 않음,25,True,False,5,439.070953,21.889999
